,album,track_title,lyric,line,year,title_lemmas,lyric_type
0,Taylor Swift,Tim McGraw,He said the way my blue eyes shined,1,2006,"['Tim', 'McGraw']",verse
3,Taylor Swift,Tim McGraw,Just a boy in a Chevy truck,4,2006,"['Tim', 'McGraw']",verse
4,Taylor Swift,Tim McGraw,That had a tendency of gettin' stuck,5,2006,"['Tim', 'McGraw']",verse
5,Taylor Swift,Tim McGraw,On backroads at night,6,2006,"['Tim', 'McGraw']",verse
6,Taylor Swift,Tim McGraw,And I was right there beside him all summer long,7,2006,"['Tim', 'McGraw']",verse
7,Taylor Swift,Tim McGraw,And then the time we woke up to find that summer gone,8,2006,"['Tim', 'McGraw']",verse
8,Taylor Swift,Tim McGraw,But when you think Tim McGraw,9,2006,"['Tim', 'McGraw']",verse
18,Taylor Swift,Tim McGraw,September saw a month of tears,19,2006,"['Tim', 'McGraw']",verse
19,Taylor Swift,Tim McGraw,And thankin' God that you weren't here,20,2006,"['Tim', 'McGraw']",verse
20,Taylor Swift,Tim McGraw,To see me like that,21,2006,"['Tim', 'McGraw']",verse
21,Taylor Swift,Tim McGraw,But in a box beneath my bed,22,2006,"['Tim', 'McGraw']",verse
22,Taylor Swift,Tim McGraw,Is a letter that you never read,23,2006,"['Tim', 'McGraw']",verse
23,Taylor Swift,Tim McGraw,From three summers back,24,2006,"['Tim', 'McGraw']",verse
24,Taylor Swift,Tim McGraw,It's hard not to find it all a little bittersweet,25,2006,"['Tim', 'McGraw']",verse
25,Taylor Swift,Tim McGraw,"And lookin' back on all of that, it's nice to believe",26,2006,"['Tim', 'McGraw']",verse
36,Taylor Swift,Tim McGraw,And I'm back for the first time since then,37,2006,"['Tim', 'McGraw']",verse
37,Taylor Swift,Tim McGraw,I'm standin' on your street,38,2006,"['Tim', 'McGraw']",verse
38,Taylor Swift,Tim McGraw,And there's a letter left on your doorstep,39,2006,"['Tim', 'McGraw']",verse
39,Taylor Swift,Tim McGraw,And the first thing that you'll read is:,40,2006,"['Tim', 'McGraw']",verse
40,Taylor Swift,Tim McGraw,"""When you think Tim McGraw",41,2006,"['Tim', 'McGraw']",verse
42,Taylor Swift,Tim McGraw,Someday you'll turn your radio on,43,2006,"['Tim', 'McGraw']",verse
43,Taylor Swift,Tim McGraw,"I hope it takes you back to that place""",44,2006,"['Tim', 'McGraw']",verse
50,Taylor Swift,Tim McGraw,"Oh, think of me",51,2006,"['Tim', 'McGraw']",verse
51,Taylor Swift,Tim McGraw,Mmmm,52,2006,"['Tim', 'McGraw']",verse
52,Taylor Swift,Tim McGraw,He said the way my blue eyes shine,53,2006,"['Tim', 'McGraw']",verse
55,Taylor Swift,Picture To Burn,"State the obvious, I didn't get my perfect fantasy",1,2006,"['picture', 'burn']",verse
56,Taylor Swift,Picture To Burn,I realize you love yourself more than you could ever love me,2,2006,"['picture', 'burn']",verse
57,Taylor Swift,Picture To Burn,So go and tell your friends that I'm obsessive and crazy,3,2006,"['picture', 'burn']",verse
58,Taylor Swift,Picture To Burn,"That's fine, I'll tell mine that you're gay",4,2006,"['picture', 'burn']",verse
59,Taylor Swift,Picture To Burn,By the way,5,2006,"['picture', 'burn']",verse
68,Taylor Swift,Picture To Burn,There's no time for tears,14,2006,"['picture', 'burn']",verse
69,Taylor Swift,Picture To Burn,I'm just sitting here planning my revenge,15,2006,"['picture', 'burn']",verse
70,Taylor Swift,Picture To Burn,There's nothing stopping me,16,2006,"['picture', 'burn']",verse
71,Taylor Swift,Picture To Burn,From going out with all of your best friends,17,2006,"['picture', 'burn']",verse
72,Taylor Swift,Picture To Burn,And if you come around saying sorry to me,18,2006,"['picture', 'burn']",verse
73,Taylor Swift,Picture To Burn,My daddy's gonna show you how sorry you'll be,19,2006,"['picture', 'burn']",verse
82,Taylor Swift,Picture To Burn,And if you're missing me,28,2006,"['picture', 'burn']",verse
83,Taylor Swift,Picture To Burn,You'd better keep it to yourself,29,2006,"['picture', 'burn']",verse
84,Taylor Swift,Picture To Burn,Cause coming back around here,30,2006,"['picture', 'burn']",verse
85,Taylor Swift,Picture To Burn,Would be bad for your health,31,2006,"['picture', 'burn']",verse
86,Taylor Swift,Picture To Burn,Cause I hate that stupid old pickup truck,32,2006,"['picture', 'burn']",verse
92,Taylor Swift,Picture To Burn,In case you haven't heard,38,2006,"['picture', 'burn']",verse
93,Taylor Swift,Picture To Burn,I really really hate that,39,2006,"['picture', 'burn']",verse
102,Taylor Swift,Picture To Burn,"Burn, burn, burn, baby, burn",48,2006,"['picture', 'burn']",verse
103,Taylor Swift,Picture To Burn,You're just another picture to burn,49,2006,"['picture', 'burn']",verse
104,Taylor Swift,Picture To Burn,"Baby, burn",50,2006,"['picture', 'burn']",verse
107,Taylor Swift,Teardrops On My Guitar,That I want and I'm needing,3,2006,"['teardrop', 'guitar']",verse
108,Taylor Swift,Teardrops On My Guitar,Everything that we should be,4,2006,"['teardrop', 'guitar']",verse
109,Taylor Swift,Teardrops On My Guitar,"I'll bet she's beautiful, that girl he talks about",5,2006,"['teardrop', 'guitar']",verse
110,Taylor Swift,Teardrops On My Guitar,And she's got everything that I have to live without,6,2006,"['teardrop', 'guitar']",verse
111,Taylor Swift,Teardrops On My Guitar,Drew talks to me,7,2006,"['teardrop', 'guitar']",verse
112,Taylor Swift,Teardrops On My Guitar,I laugh 'cause it's so damn funny,8,2006,"['teardrop', 'guitar']",verse
113,Taylor Swift,Teardrops On My Guitar,That I can't even see,9,2006,"['teardrop', 'guitar']",verse
114,Taylor Swift,Teardrops On My Guitar,Anyone when he's with me,10,2006,"['teardrop', 'guitar']",verse
115,Taylor Swift,Teardrops On My Guitar,"He says he's so in love, he's finally got it right",11,2006,"['teardrop', 'guitar']",verse
116,Taylor Swift,Teardrops On My Guitar,I wonder if he knows he's all I think about at night,12,2006,"['teardrop', 'guitar']",verse
121,Taylor Swift,Teardrops On My Guitar,Drew walks by me,17,2006,"['teardrop', 'guitar']",verse
122,Taylor Swift,Teardrops On My Guitar,Can't he tell that I can't breathe?,18,2006,"['teardrop', 'guitar']",verse
123,Taylor Swift,Teardrops On My Guitar,"And there he goes, so perfectly",19,2006,"['teardrop', 'guitar']",verse
124,Taylor Swift,Teardrops On My Guitar,The kind of flawless I wish I could be,20,2006,"['teardrop', 'guitar']",verse
125,Taylor Swift,Teardrops On My Guitar,"She'd better hold him tight, give him all her love",21,2006,"['teardrop', 'guitar']",verse
126,Taylor Swift,Teardrops On My Guitar,Look in those beautiful eyes and know she's lucky 'cause,22,2006,"['teardrop', 'guitar']",verse
131,Taylor Swift,Teardrops On My Guitar,"So I drive home alone, as I turn off the light",27,2006,"['teardrop', 'guitar']",verse
132,Taylor Swift,Teardrops On My Guitar,I'll put his picture down and maybe get some sleep tonight,28,2006,"['teardrop', 'guitar']",verse
134,Taylor Swift,Teardrops On My Guitar,The only one who's got enough of me to break my heart,30,2006,"['teardrop', 'guitar']",verse
137,Taylor Swift,Teardrops On My Guitar,"He's the time taken up, but there's never enough",33,2006,"['teardrop', 'guitar']",verse
138,Taylor Swift,Teardrops On My Guitar,And he's all that I need to fall into,34,2006,"['teardrop', 'guitar']",verse
141,Taylor Swift,A Place In This World,"I don't know what I want, so don't ask me",1,2006,"['Place', 'world']",verse
142,Taylor Swift,A Place In This World,Cause I'm still trying to figure it out,2,2006,"['Place', 'world']",verse
143,Taylor Swift,A Place In This World,"Don't know what's down this road, I'm just walking",3,2006,"['Place', 'world']",verse
144,Taylor Swift,A Place In This World,Trying to see through the rain coming down,4,2006,"['Place', 'world']",verse
145,Taylor Swift,A Place In This World,Even though I'm not the only one,5,2006,"['Place', 'world']",verse
146,Taylor Swift,A Place In This World,Who feels the way I do,6,2006,"['Place', 'world']",verse
150,Taylor Swift,A Place In This World,"Got the radio on, my old blue jeans",10,2006,"['Place', 'world']",verse
151,Taylor Swift,A Place In This World,And I'm wearing my heart on my sleeve,11,2006,"['Place', 'world']",verse
152,Taylor Swift,A Place In This World,"Feeling lucky today, got the sunshine",12,2006,"['Place', 'world']",verse
153,Taylor Swift,A Place In This World,Could you tell me what more do I need,13,2006,"['Place', 'world']",verse
154,Taylor Swift,A Place In This World,"And tomorrow's just a mystery, oh yeah",14,2006,"['Place', 'world']",verse
155,Taylor Swift,A Place In This World,But that's OK,15,2006,"['Place', 'world']",verse
159,Taylor Swift,A Place In This World,Maybe I'm just a girl on a mission,19,2006,"['Place', 'world']",verse
160,Taylor Swift,A Place In This World,But I'm ready to fly,20,2006,"['Place', 'world']",verse
163,Taylor Swift,A Place In This World,"Oh I'm alone, on my own, and that's all I know",23,2006,"['Place', 'world']",verse
164,Taylor Swift,A Place In This World,"Oh I'm just a girl, trying to find a place in this world",24,2006,"['Place', 'world']",verse
166,Taylor Swift,A Place In This World,"Oh I'm just a girl, oh, oh",26,2006,"['Place', 'world']",verse
168,Taylor Swift,Cold as You,You have a way of coming easily to me,1,2006,['cold'],verse
169,Taylor Swift,Cold as You,"And when you take, you take the very best of me",2,2006,['cold'],verse
170,Taylor Swift,Cold as You,So I start a fight cause I need to feel something,3,2006,['cold'],verse
171,Taylor Swift,Cold as You,And you do what you want cause I'm not what you wanted,4,2006,['cold'],verse
176,Taylor Swift,Cold as You,You put up walls and paint them all a shade of gray,9,2006,['cold'],verse
177,Taylor Swift,Cold as You,And I stood there loving you and wished them all away,10,2006,['cold'],verse
178,Taylor Swift,Cold as You,And you come away with a great little story,11,2006,['cold'],verse
179,Taylor Swift,Cold as You,Of a mess of a dreamer with the nerve to adore you,12,2006,['cold'],verse
184,Taylor Swift,Cold as You,"You never did give a damn thing honey but I cried, cried for you",17,2006,['cold'],verse
185,Taylor Swift,Cold as You,"And I know you wouldn't have told nobody if I died, died for you",18,2006,['cold'],verse
186,Taylor Swift,Cold as You,(Died for you),19,2006,['cold'],verse
188,Taylor Swift,Cold as You,Every smile you fake is so condescending,21,2006,['cold'],verse
189,Taylor Swift,Cold as You,Counting all the scars you made,22,2006,['cold'],verse
192,Taylor Swift,The Outside,I didn't know what I would find,1,2006,['Outside'],verse
193,Taylor Swift,The Outside,"When I went looking for a reason, I know",2,2006,['Outside'],verse
194,Taylor Swift,The Outside,I didn't read between the lines,3,2006,['Outside'],verse
195,Taylor Swift,The Outside,"And, baby, I've got nowhere to go",4,2006,['Outside'],verse
196,Taylor Swift,The Outside,I tried to take the road less traveled by,5,2006,['Outside'],verse
197,Taylor Swift,The Outside,But nothing seems to work the first few times,6,2006,['Outside'],verse
198,Taylor Swift,The Outside,Am I right?,7,2006,['Outside'],verse
205,Taylor Swift,The Outside,"You saw me there, but never knew",14,2006,['Outside'],verse
206,Taylor Swift,The Outside,I would give it all up to be,15,2006,['Outside'],verse
207,Taylor Swift,The Outside,"A part of this, a part of you",16,2006,['Outside'],verse
208,Taylor Swift,The Outside,And now it's all too late so you see,17,2006,['Outside'],verse
209,Taylor Swift,The Outside,You could've helped if you had wanted to,18,2006,['Outside'],verse
210,Taylor Swift,The Outside,But no one notices until it's too,19,2006,['Outside'],verse
211,Taylor Swift,The Outside,Late to do anything,20,2006,['Outside'],verse
224,Taylor Swift,Tied Together With A Smile,Seems the only one who doesn't see your beauty,1,2006,"['tie', 'smile']",verse
225,Taylor Swift,Tied Together With A Smile,Is the face in the mirror looking back at you,2,2006,"['tie', 'smile']",verse
226,Taylor Swift,Tied Together With A Smile,You walk around here thinking you're not pretty,3,2006,"['tie', 'smile']",verse
227,Taylor Swift,Tied Together With A Smile,"But that's not true, 'cause I know you",4,2006,"['tie', 'smile']",verse
240,Taylor Swift,Tied Together With A Smile,I guess it's true that love was all you wanted,17,2006,"['tie', 'smile']",verse
241,Taylor Swift,Tied Together With A Smile,Cause you're giving it away like it's extra change,18,2006,"['tie', 'smile']",verse
242,Taylor Swift,Tied Together With A Smile,Hoping it will end up in his pocket,19,2006,"['tie', 'smile']",verse
243,Taylor Swift,Tied Together With A Smile,But he leaves you out like a penny in the rain,20,2006,"['tie', 'smile']",verse
244,Taylor Swift,Tied Together With A Smile,"Oh, 'cause it's not his price to pay",21,2006,"['tie', 'smile']",verse
245,Taylor Swift,Tied Together With A Smile,Not his price to pay,22,2006,"['tie', 'smile']",verse
270,Taylor Swift,Tied Together With A Smile,You're tied together with a smile,47,2006,"['tie', 'smile']",verse
271,Taylor Swift,Tied Together With A Smile,But you're coming undone oh,48,2006,"['tie', 'smile']",verse
272,Taylor Swift,Tied Together With A Smile,"Goodbye, baby",49,2006,"['tie', 'smile']",verse
273,Taylor Swift,Tied Together With A Smile,"With a smile, baby, baby",50,2006,"['tie', 'smile']",verse
274,Taylor Swift,Stay Beautiful,Cory's eyes are like a jungle,1,2006,"['stay', 'beautiful']",verse
275,Taylor Swift,Stay Beautiful,"He smiles, it's like the radio",2,2006,"['stay', 'beautiful']",verse
276,Taylor Swift,Stay Beautiful,He whispers songs into my window,3,2006,"['stay', 'beautiful']",verse
277,Taylor Swift,Stay Beautiful,In words that nobody knows,4,2006,"['stay', 'beautiful']",verse
278,Taylor Swift,Stay Beautiful,These pretty girls on every corner,5,2006,"['stay', 'beautiful']",verse
279,Taylor Swift,Stay Beautiful,They watch him as he's walking home,6,2006,"['stay', 'beautiful']",verse
280,Taylor Swift,Stay Beautiful,"Saying, ""Does he know?""",7,2006,"['stay', 'beautiful']",verse
281,Taylor Swift,Stay Beautiful,Will you ever know?,8,2006,"['stay', 'beautiful']",verse
291,Taylor Swift,Stay Beautiful,Cory finds another way to be,18,2006,"['stay', 'beautiful']",verse
292,Taylor Swift,Stay Beautiful,The highlight of my day,19,2006,"['stay', 'beautiful']",verse
293,Taylor Swift,Stay Beautiful,I'm taking pictures in my mind,20,2006,"['stay', 'beautiful']",verse
294,Taylor Swift,Stay Beautiful,So I can save them for a rainy day,21,2006,"['stay', 'beautiful']",verse
295,Taylor Swift,Stay Beautiful,It's hard to make a conversation,22,2006,"['stay', 'beautiful']",verse
296,Taylor Swift,Stay Beautiful,When he's taking my breath away,23,2006,"['stay', 'beautiful']",verse
297,Taylor Swift,Stay Beautiful,"I should say, hey, by the way",24,2006,"['stay', 'beautiful']",verse
307,Taylor Swift,Stay Beautiful,If you and I are a story,34,2006,"['stay', 'beautiful']",verse
308,Taylor Swift,Stay Beautiful,That never gets told,35,2006,"['stay', 'beautiful']",verse
309,Taylor Swift,Stay Beautiful,If what you are is a daydream,36,2006,"['stay', 'beautiful']",verse
310,Taylor Swift,Stay Beautiful,I'll never get to hold,37,2006,"['stay', 'beautiful']",verse
311,Taylor Swift,Stay Beautiful,At least you'll know,38,2006,"['stay', 'beautiful']",verse
318,Taylor Swift,Stay Beautiful,I hope your life will lead you back to my front door,45,2006,"['stay', 'beautiful']",verse
320,Taylor Swift,Stay Beautiful,Will you stay,47,2006,"['stay', 'beautiful']",verse
323,Taylor Swift,Stay Beautiful,La la la,50,2006,"['stay', 'beautiful']",verse
324,Taylor Swift,Stay Beautiful,"Oh, oh, oh, oh",51,2006,"['stay', 'beautiful']",verse
328,Taylor Swift,Stay Beautiful,"Na, na, na, na, na",55,2006,"['stay', 'beautiful']",verse
329,Taylor Swift,Should've Said No,It's strange to think the songs we used to sing,1,2006,['say'],verse
330,Taylor Swift,Should've Said No,"The smiles, the flowers, everything is gone",2,2006,['say'],verse
331,Taylor Swift,Should've Said No,Yesterday I found out about you,3,2006,['say'],verse
332,Taylor Swift,Should've Said No,Even now just looking at you: feels wrong,4,2006,['say'],verse
333,Taylor Swift,Should've Said No,"You say that you'd take it all back, given one chance",5,2006,['say'],verse
343,Taylor Swift,Should've Said No,You can see that I've been crying,15,2006,['say'],verse
344,Taylor Swift,Should've Said No,Baby you know all the right things to say,16,2006,['say'],verse
345,Taylor Swift,Should've Said No,But do you honestly expect me to believe,17,2006,['say'],verse
346,Taylor Swift,Should've Said No,We could ever be the same?,18,2006,['say'],verse
347,Taylor Swift,Should've Said No,"You say that the past is the past, you need one chance",19,2006,['say'],verse
357,Taylor Swift,Should've Said No,I can't resist,29,2006,['say'],verse
358,Taylor Swift,Should've Said No,Before you go tell me this,30,2006,['say'],verse
359,Taylor Swift,Should've Said No,Was it worth it?,31,2006,['say'],verse
360,Taylor Swift,Should've Said No,Was she worth this?,32,2006,['say'],verse
361,Taylor Swift,Should've Said No,"No no, no, no",33,2006,['say'],verse
370,Taylor Swift,Mary's Song (Oh My My My),"She said, I was seven and you were nine",1,2006,"['Mary', 'Song', 'oh']",verse
371,Taylor Swift,Mary's Song (Oh My My My),I looked at you like the stars that shined,2,2006,"['Mary', 'Song', 'oh']",verse
372,Taylor Swift,Mary's Song (Oh My My My),"In the sky, the pretty lights",3,2006,"['Mary', 'Song', 'oh']",verse
374,Taylor Swift,Mary's Song (Oh My My My),Growing up and falling in love and our mamas smiled,5,2006,"['Mary', 'Song', 'oh']",verse
375,Taylor Swift,Mary's Song (Oh My My My),And rolled their eyes and said oh my my my,6,2006,"['Mary', 'Song', 'oh']",verse
376,Taylor Swift,Mary's Song (Oh My My My),Take me back to the house in the backyard tree,7,2006,"['Mary', 'Song', 'oh']",verse
377,Taylor Swift,Mary's Song (Oh My My My),"Said you'd beat me up, you were bigger than me",8,2006,"['Mary', 'Song', 'oh']",verse
378,Taylor Swift,Mary's Song (Oh My My My),"You never did, you never did",9,2006,"['Mary', 'Song', 'oh']",verse
379,Taylor Swift,Mary's Song (Oh My My My),Take me back when our world was one block wide,10,2006,"['Mary', 'Song', 'oh']",verse
380,Taylor Swift,Mary's Song (Oh My My My),I dared you to kiss me and ran when you tried,11,2006,"['Mary', 'Song', 'oh']",verse
381,Taylor Swift,Mary's Song (Oh My My My),"Just two kids, you and I",12,2006,"['Mary', 'Song', 'oh']",verse
383,Taylor Swift,Mary's Song (Oh My My My),"Well, I was sixteen when suddenly",14,2006,"['Mary', 'Song', 'oh']",verse
384,Taylor Swift,Mary's Song (Oh My My My),I wasn't that little girl you used to see,15,2006,"['Mary', 'Song', 'oh']",verse
385,Taylor Swift,Mary's Song (Oh My My My),But your eyes still shined like pretty lights,16,2006,"['Mary', 'Song', 'oh']",verse
387,Taylor Swift,Mary's Song (Oh My My My),They never believed we'd really fall in love,18,2006,"['Mary', 'Song', 'oh']",verse
388,Taylor Swift,Mary's Song (Oh My My My),And our mamas smiled and rolled their eyes,19,2006,"['Mary', 'Song', 'oh']",verse
389,Taylor Swift,Mary's Song (Oh My My My),And said oh my my my,20,2006,"['Mary', 'Song', 'oh']",verse
390,Taylor Swift,Mary's Song (Oh My My My),Take me back to the creek beds we turned up,21,2006,"['Mary', 'Song', 'oh']",verse
391,Taylor Swift,Mary's Song (Oh My My My),Two A.M. riding in your truck and all I need is you next to me,22,2006,"['Mary', 'Song', 'oh']",verse
392,Taylor Swift,Mary's Song (Oh My My My),Take me back to the time we had our very first fight,23,2006,"['Mary', 'Song', 'oh']",verse
393,Taylor Swift,Mary's Song (Oh My My My),The slamming of doors instead of kissing goodnight,24,2006,"['Mary', 'Song', 'oh']",verse
394,Taylor Swift,Mary's Song (Oh My My My),You stayed outside till the morning light,25,2006,"['Mary', 'Song', 'oh']",verse
396,Taylor Swift,Mary's Song (Oh My My My),A few years had gone and come around,27,2006,"['Mary', 'Song', 'oh']",verse
397,Taylor Swift,Mary's Song (Oh My My My),We were sitting at our favorite spot in town,28,2006,"['Mary', 'Song', 'oh']",verse
398,Taylor Swift,Mary's Song (Oh My My My),"And you looked at me, got down on one knee",29,2006,"['Mary', 'Song', 'oh']",verse
399,Taylor Swift,Mary's Song (Oh My My My),Take me back to the time when we walked down the aisle,30,2006,"['Mary', 'Song', 'oh']",verse
400,Taylor Swift,Mary's Song (Oh My My My),Our whole town came and our mamas cried,31,2006,"['Mary', 'Song', 'oh']",verse
401,Taylor Swift,Mary's Song (Oh My My My),You said I do and I did too,32,2006,"['Mary', 'Song', 'oh']",verse
402,Taylor Swift,Mary's Song (Oh My My My),Take me home where we met so many years before,33,2006,"['Mary', 'Song', 'oh']",verse
403,Taylor Swift,Mary's Song (Oh My My My),We'll rock our babies on that very front porch,34,2006,"['Mary', 'Song', 'oh']",verse
404,Taylor Swift,Mary's Song (Oh My My My),"After all this time, you and I",35,2006,"['Mary', 'Song', 'oh']",verse
405,Taylor Swift,Mary's Song (Oh My My My),I'll be eighty-seven; you'll be eighty-nine,36,2006,"['Mary', 'Song', 'oh']",verse
406,Taylor Swift,Mary's Song (Oh My My My),I'll still look at you like the stars that shine,37,2006,"['Mary', 'Song', 'oh']",verse
407,Taylor Swift,Mary's Song (Oh My My My),"In the sky, oh my my my",38,2006,"['Mary', 'Song', 'oh']",verse
410,Taylor Swift,Our Song,He's got a one-hand feel on the steering wheel,3,2006,['song'],verse
411,Taylor Swift,Our Song,The other on my heart,4,2006,['song'],verse
412,Taylor Swift,Our Song,"I look around, turn the radio down",5,2006,['song'],verse
413,Taylor Swift,Our Song,"He says, ""Baby is something wrong?""",6,2006,['song'],verse
414,Taylor Swift,Our Song,"I say, ""Nothing, I was just thinking",7,2006,['song'],verse
415,Taylor Swift,Our Song,"How we don't have a song""",8,2006,['song'],verse
416,Taylor Swift,Our Song,And he says,9,2006,['song'],verse
425,Taylor Swift,Our Song,I was walking up the front porch steps,18,2006,['song'],verse
426,Taylor Swift,Our Song,After everything that day,19,2006,['song'],verse
427,Taylor Swift,Our Song,Had gone all wrong and been trampled on,20,2006,['song'],verse
428,Taylor Swift,Our Song,And lost and thrown away,21,2006,['song'],verse
429,Taylor Swift,Our Song,"Got to the hallway, well on my way",22,2006,['song'],verse
430,Taylor Swift,Our Song,To my lovin' bed,23,2006,['song'],verse
431,Taylor Swift,Our Song,I almost didn't notice all the roses,24,2006,['song'],verse
432,Taylor Swift,Our Song,And the note that said,25,2006,['song'],verse
441,Taylor Swift,Our Song,"I've heard every album, listened to the radio",34,2006,['song'],verse
442,Taylor Swift,Our Song,Waited for something to come along,35,2006,['song'],verse
443,Taylor Swift,Our Song,That was as good as our song,36,2006,['song'],verse
444,Taylor Swift,Our Song,Cause our song is the slamming screen door,37,2006,['song'],verse
445,Taylor Swift,Our Song,"Sneakin' out late, tapping on his window",38,2006,['song'],verse
446,Taylor Swift,Our Song,When we're on the phone and he talks real slow,39,2006,['song'],verse
447,Taylor Swift,Our Song,Cause it's late and his mama don't know,40,2006,['song'],verse
448,Taylor Swift,Our Song,Our song is the way he laughs,41,2006,['song'],verse
449,Taylor Swift,Our Song,"The first date: ""Man, I didn't kiss him, and I should have""",42,2006,['song'],verse
452,Taylor Swift,Our Song,Play it again,45,2006,['song'],verse
455,Taylor Swift,Our Song,I grabbed a pen and an old napkin,48,2006,['song'],verse
456,Taylor Swift,Our Song,And I wrote down our song,49,2006,['song'],verse
457,Taylor Swift,I'm Only Me When I'm With You,Friday night beneath the stars,1,2006,[],verse
458,Taylor Swift,I'm Only Me When I'm With You,In a field behind your yard,2,2006,[],verse
459,Taylor Swift,I'm Only Me When I'm With You,You and I are painting pictures in the sky,3,2006,[],verse
460,Taylor Swift,I'm Only Me When I'm With You,And sometimes we don't say a thing,4,2006,[],verse
461,Taylor Swift,I'm Only Me When I'm With You,Just listen to the crickets sing,5,2006,[],verse
462,Taylor Swift,I'm Only Me When I'm With You,Everything I need is right here by my side,6,2006,[],verse
463,Taylor Swift,I'm Only Me When I'm With You,And I know everything about you,7,2006,[],verse
464,Taylor Swift,I'm Only Me When I'm With You,I don't wanna live without you,8,2006,[],verse
471,Taylor Swift,I'm Only Me When I'm With You,Just a small town boy and girl,15,2006,[],verse
472,Taylor Swift,I'm Only Me When I'm With You,Living in a crazy world,16,2006,[],verse
473,Taylor Swift,I'm Only Me When I'm With You,Trying to figure out what is and isn't true,17,2006,[],verse
474,Taylor Swift,I'm Only Me When I'm With You,And I don't try to hide my tears,18,2006,[],verse
475,Taylor Swift,I'm Only Me When I'm With You,The secrets or my deepest fears,19,2006,[],verse
476,Taylor Swift,I'm Only Me When I'm With You,Through it all nobody gets me like you do,20,2006,[],verse
477,Taylor Swift,I'm Only Me When I'm With You,And you know everything about me,21,2006,[],verse
478,Taylor Swift,I'm Only Me When I'm With You,You say that you can't live without me,22,2006,[],verse
485,Taylor Swift,I'm Only Me When I'm With You,When I'm with anybody else it's so hard to be myself,29,2006,[],verse
486,Taylor Swift,I'm Only Me When I'm With You,Only you can tell,30,2006,[],verse
487,Taylor Swift,I'm Only Me When I'm With You,That I'm only up when you're not down,31,2006,[],verse
492,Taylor Swift,I'm Only Me When I'm With You,And I'm only me,36,2006,[],verse
493,Taylor Swift,I'm Only Me When I'm With You,Who I wanna be,37,2006,[],verse
494,Taylor Swift,I'm Only Me When I'm With You,"Well, I'm only me when I'm with you",38,2006,[],verse
495,Taylor Swift,I'm Only Me When I'm With You,With you,39,2006,[],verse
496,Taylor Swift,I'm Only Me When I'm With You,Uh huh,40,2006,[],verse
500,Taylor Swift,Invisible,She'll never notice how you stop and stare,3,2006,['invisible'],verse
501,Taylor Swift,Invisible,Whenever she walks by,4,2006,['invisible'],verse
502,Taylor Swift,Invisible,And you can't see me wanting you the way you want her,5,2006,['invisible'],verse
503,Taylor Swift,Invisible,But you are everything to me,6,2006,['invisible'],verse
513,Taylor Swift,Invisible,There's a fire inside of you,16,2006,['invisible'],verse
514,Taylor Swift,Invisible,That can't help but shine through,17,2006,['invisible'],verse
515,Taylor Swift,Invisible,She's never going to see the light,18,2006,['invisible'],verse
516,Taylor Swift,Invisible,No matter what you do,19,2006,['invisible'],verse
517,Taylor Swift,Invisible,And all I think about is how to make you think of me,20,2006,['invisible'],verse
518,Taylor Swift,Invisible,And everything that we could be,21,2006,['invisible'],verse
528,Taylor Swift,Invisible,Like shadows in a faded light,31,2006,['invisible'],verse
529,Taylor Swift,Invisible,"Oh, we're invisible",32,2006,['invisible'],verse
530,Taylor Swift,Invisible,I just want to open your eyes,33,2006,['invisible'],verse
531,Taylor Swift,Invisible,And make you realize,34,2006,['invisible'],verse
534,Taylor Swift,Invisible,"Baby, let me love you",37,2006,['invisible'],verse
535,Taylor Swift,Invisible,Let me want you,38,2006,['invisible'],verse
536,Taylor Swift,Invisible,You just see right through me,39,2006,['invisible'],verse
537,Taylor Swift,Invisible,But if you only knew me,40,2006,['invisible'],verse
548,Taylor Swift,A Perfectly Good Heart,"Maybe I should've seen the signs, should've read the writing on the wall",5,2006,"['perfectly', 'good', 'heart']",verse
549,Taylor Swift,A Perfectly Good Heart,And realized by the distance in your eyes that I would be the one to fall,6,2006,"['perfectly', 'good', 'heart']",verse
550,Taylor Swift,A Perfectly Good Heart,"No matter what you say, I still can't believe",7,2006,"['perfectly', 'good', 'heart']",verse
551,Taylor Swift,A Perfectly Good Heart,That you would walk away,8,2006,"['perfectly', 'good', 'heart']",verse
552,Taylor Swift,A Perfectly Good Heart,"It don't make sense to me, but",9,2006,"['perfectly', 'good', 'heart']",verse
554,Taylor Swift,A Perfectly Good Heart,"Why would you wanna take our love and tear it all apart,now?",11,2006,"['perfectly', 'good', 'heart']",verse
557,Taylor Swift,A Perfectly Good Heart,It's not unbroken anymore,14,2006,"['perfectly', 'good', 'heart']",verse
558,Taylor Swift,A Perfectly Good Heart,How do I get it back the way it was before?,15,2006,"['perfectly', 'good', 'heart']",verse
567,Fearless,Fearless,There's something 'bout the way,1,2008,['fearless'],verse
568,Fearless,Fearless,The street looks when it's just rained,2,2008,['fearless'],verse
569,Fearless,Fearless,There's a glow off the pavement,3,2008,['fearless'],verse
570,Fearless,Fearless,You walk me to the car,4,2008,['fearless'],verse
571,Fearless,Fearless,And you know I wanna ask you to dance right there,5,2008,['fearless'],verse
572,Fearless,Fearless,"In the middle of the parking lot, yeah",6,2008,['fearless'],verse
574,Fearless,Fearless,We're driving down the road,8,2008,['fearless'],verse
575,Fearless,Fearless,I wonder if you know,9,2008,['fearless'],verse
